iter	Passed	Remaining
836	12225	2380
837	12240	2366
838	12256	2351
839	12271	2337
840	12286	2322
841	12302	2308
842	12317	2294
843	12333	2279
844	12348	2265
845	12363	2250
846	12378	2235
847	12394	2221
848	12411	2207
849	12426	2192
850	12440	2178
851	12455	2163
852	12471	2149
853	12487	2134
854	12503	2120
855	12518	2105
856	12533	2091
857	12548	2076
858	12563	2062
859	12579	2047
860	12594	2033
861	12609	2018
862	12626	2004
863	12657	1992
864	12673	1977
865	12688	1963
866	12704	1948
867	12720	1934
868	12735	1919
869	12751	1905
870	12765	1890
871	12781	1876
872	12794	1861
873	12808	1846
874	12824	1832
875	12838	1817
876	12851	1802
877	12864	1787
878	12881	1773
879	12896	1758
880	12911	1743
881	12927	1729
882	12943	1715
883	12959	1700
884	12972	1685
885	12989	1671
886	13004	1656
887	13020	1642
888	13035	1627
889	13051	1613
890	13066	1598
891	13076	1583
892	13091	1568
893	13106	1553
894	13121	1539
895	13136	1524
896	13153	1510
897	13168	1495
898	13183	1481
899	13199	1466
900	13215	1452
901	13229	1437
902	13245	1422
903	13259	1408
904	13274	1393
905	13290	1378
906	13305	1364
907	13320	1349
908	13336	1335
909	13350	1320
910	13366	1305
911	13379	1290
912	13395	1276
913	13410	1261
914	13425	1247
915	13441	1232
916	13456	1217
917	13469	1203
918	13485	1188
919	13500	1173
920	13516	1159
921	13532	1144
922	13548	1130
923	13564	1115
924	13580	1101
925	13593	1086
926	13609	1071
927	13625	1057
928	13641	1042
929	13655	1027
930	13670	1013
931	13686	998
932	13701	983
933	13716	969
934	13732	954
935	13748	940
936	13765	925
937	13782	910
938	13798	896
939	13814	881
940	13829	867
941	13843	852
942	13856	837
943	13871	822
944	13886	808
945	13902	793
946	13918	778
947	13934	764
948	13950	749
949	13966	735
950	13981	720
951	13997	705
952	14013	691
953	14027	676
954	14042	661
955	14055	646
956	14071	632
957	14085	617
958	14100	602
959	14116	588
960	14131	573
961	14147	558
962	14162	544
963	14175	529
964	14191	514
965	14207	500
966	14221	485
967	14236	470
968	14252	455
969	14266	441
970	14282	426
971	14298	411
972	14311	397
973	14327	382
974	14342	367
975	14357	353
976	14372	338
977	14385	323
978	14400	308
979	14414	294
980	14428	279
981	14443	264
982	14459	250
983	14474	235
984	14485	220
985	14501	205
986	14514	191
987	14526	176
988	14543	161
989	14558	147
990	14572	132
991	14588	117
992	14602	102
993	14617	88
994	14633	73
995	14648	58
996	14664	44
997	14679	29
998	14695	14
999	14710	0
